sale_price,sqft,bedrooms,bathrooms,neighborhood,neighborhood_score,year_built,garage,pool,sale_date,property_type,price_per_sqft,property_age,age_category,total_rooms,luxury_score,sale_month,sale_quarter,sale_year,is_weekend_sale
781769.76,2397.0,3,2.5,Downtown,0.9,1997,2,0,2020-03-25,Single Family,326.1450813516896,29,Vintage,5.5,6.5,3,1,2020,0
689815.83,1889.0,2,1.6,Suburbs,0.7,2003,2,1,2022-05-24,Townhouse,365.17513499205927,23,Vintage,3.6,7.5,5,2,2022,0
790708.46,2518.0,1,1.4,Hillside,0.95,1985,0,0,2023-04-08,Condo,314.02242255758534,41,Vintage,2.4,4.75,4,2,2023,1
852315.54,3218.0,1,1.0,Suburbs,0.7,2010,1,0,2020-12-16,Townhouse,264.8587756370417,16,Modern,2.0,4.5,12,4,2020,0
711468.43,1812.0,3,2.5,Downtown,0.9,2004,2,0,2021-06-11,Townhouse,392.6426214128036,22,Vintage,5.5,6.5,6,2,2021,0
620756.02,1812.0,1,1.0,Riverside,0.85,1963,0,0,2020-03-11,Condo,342.58058498896247,63,Historic,2.0,4.25,3,1,2020,0
817152.63,3263.0,3,2.2,Industrial,0.4,1951,1,0,2022-08-28,Single Family,250.4298590254367,75,Historic,5.2,3.0,8,3,2022,1
860028.82,2613.0,4,3.0,Downtown,0.9,1951,1,1,2023-06-20,Condo,329.1346421737466,75,Historic,7.0,7.5,6,2,2023,0
661921.95,1624.0,2,2.2,Suburbs,0.7,2010,0,0,2023-02-14,Multi-Family,407.58740763546797,16,Modern,4.2,3.5,2,1,2023,0
782649.01,2434.0,4,3.5,Riverside,0.85,1955,0,0,2021-09-25,Townhouse,321.5484839769926,71,Historic,7.5,4.25,9,3,2021,1
694501.61,1629.0,4,3.1,Downtown,0.9,1974,1,0,2022-08-09,Multi-Family,426.33616329036215,52,Historic,7.1,5.5,8,3,2022,0
633531.59,1627.0,2,2.1,Suburbs,0.7,2016,2,1,2023-02-06,Condo,389.38634910878915,10,Modern,4.1,7.5,2,1,2023,0
867506.14,2193.0,4,3.6,Downtown,0.9,1972,3,0,2023-08-05,Single Family,395.5796352029184,54,Historic,7.6,7.5,8,3,2023,1
515869.04,500.0,4,3.3,Suburbs,0.7,2022,1,0,2020-01-29,Condo,1031.7380799999999,4,New,7.3,4.5,1,1,2020,0
517081.0,620.0,3,2.2,Suburbs,0.7,1977,2,0,2023-02-11,Multi-Family,834.0016129032258,49,Vintage,5.2,5.5,2,1,2023,1
631686.83,1550.0,2,1.8,Downtown,0.9,1974,2,0,2022-05-12,Multi-Family,407.5398903225806,52,Historic,3.8,6.5,5,2,2022,0
614841.39,1189.0,3,2.6,Riverside,0.85,2014,2,0,2020-12-12,Townhouse,517.1079814970564,12,Modern,5.6,6.25,12,4,2020,1
849883.8,2251.0,5,3.6,Downtown,0.9,2015,2,0,2022-05-20,Townhouse,377.558329631275,11,Modern,8.6,6.5,5,2,2022,0
674253.17,1273.0,3,2.7,Downtown,0.9,1992,2,0,2023-05-02,Townhouse,529.6568499607228,34,Vintage,5.7,6.5,5,2,2023,0
530062.54,870.0,2,2.0,Riverside,0.85,1989,2,0,2022-10-18,Townhouse,609.2672873563218,37,Vintage,4.0,6.25,10,4,2022,0
899358.93,3172.0,3,2.7,Downtown,0.9,1972,1,0,2023-02-10,Single Family,283.53055800756624,54,Historic,5.7,5.5,2,1,2023,0
648513.63,1819.0,3,2.7,Industrial,0.4,1998,1,0,2021-03-06,Condo,356.52206157229244,28,Vintage,5.7,3.0,3,1,2021,1
656727.35,2054.0,3,2.8,Industrial,0.4,1957,1,1,2022-02-18,Condo,319.73093962999025,69,Historic,5.8,5.0,2,1,2022,0
426543.78,860.0,4,3.2,Industrial,0.4,1956,1,0,2020-12-05,Condo,495.98113953488377,70,Historic,7.2,3.0,12,4,2020,1
615716.72,1564.0,3,2.7,Suburbs,0.7,1970,1,0,2020-02-09,Single Family,393.6807672634271,56,Historic,5.7,4.5,2,1,2020,1
812694.97,2088.0,4,3.2,Hillside,0.95,1984,2,0,2022-10-25,Condo,389.22172892720306,42,Vintage,7.2,6.75,10,4,2022,0
641148.86,1079.0,4,3.1,Downtown,0.9,2010,3,0,2021-03-15,Condo,594.2065430954588,16,Modern,7.1,7.5,3,1,2021,0
889956.31,2300.0,3,3.0,Hillside,0.95,2023,1,0,2023-08-29,Single Family,386.93752608695655,3,New,6.0,5.75,8,3,2023,0
547275.92,1519.0,2,1.3,Industrial,0.4,2017,1,0,2022-08-30,Townhouse,360.28697827518107,9,Modern,3.3,3.0,8,3,2022,0
783137.34,1766.0,4,3.6,Riverside,0.85,1979,0,0,2020-12-31,Townhouse,443.4526274065685,47,Vintage,7.6,4.25,12,4,2020,0
738921.8,1518.0,5,3.8,Industrial,0.4,2017,2,0,2023-07-04,Single Family,486.77325428194996,9,Modern,8.8,4.0,7,3,2023,0
888707.84,3481.0,2,1.7,Downtown,0.9,1958,2,0,2021-11-03,Single Family,255.30245331801206,68,Historic,3.7,6.5,11,4,2021,0
724624.81,1998.0,3,2.7,Hillside,0.95,1966,1,0,2020-07-06,Townhouse,362.67508008008014,60,Historic,5.7,5.75,7,3,2020,0
885572.47,1998.0,4,3.1,Suburbs,0.7,2006,2,0,2023-06-08,Condo,443.22946446446446,20,Vintage,7.1,5.5,6,2,2023,0
555869.48,1023.0,4,3.0,Riverside,0.85,1962,1,1,2020-02-03,Multi-Family,543.3719257086999,64,Historic,7.0,7.25,2,1,2020,0
680387.59,2167.0,2,1.8,Industrial,0.4,2006,1,0,2022-12-31,Multi-Family,313.97673742501155,20,Vintage,3.8,3.0,12,4,2022,1
550725.9,500.0,4,3.1,Riverside,0.85,1975,0,0,2023-10-11,Condo,1101.4518,51,Historic,7.1,4.25,10,4,2023,0
609410.68,937.0,2,2.4,Downtown,0.9,2010,1,0,2023-06-08,Single Family,650.3849306296692,16,Modern,4.4,5.5,6,2,2023,0
791045.2,2157.0,4,3.8,Suburbs,0.7,2011,2,1,2021-04-25,Townhouse,366.73398238293925,15,Modern,7.8,7.5,4,2,2021,1
700570.46,2590.0,3,2.0,Industrial,0.4,1968,1,1,2021-05-05,Multi-Family,270.49052509652506,58,Historic,5.0,5.0,5,2,2021,0
835020.49,2137.0,3,2.8,Downtown,0.9,1979,2,0,2023-11-12,Multi-Family,390.74426298549366,47,Vintage,5.8,6.5,11,4,2023,1
